id,name,description,country,iata,icao,latitude,longitude,elevation
8021,Venezia Santa Lucia,Venice,Italy,,,45.44177,12.32,8
8022,Firenze Santa Maria Novella,Florence,Italy,,,43.77667,11.24802,159
8023,Roma Termini,Rome,Italy,,,41.90048,12.502,189
8024,St Pancras Railway Station,London,United Kingdom,QQS,,51.53252,-0.1263,80
8025,Chitabe Airstrip,Chitabe,Botswana,,,-19.4687,23.38271,3000
8026,Fish River Canyon Lodge Airstrip,Fish River Canyon,Namibia,,,-27.65929,17.83762,3077
8027,Sossusvlei Desert Lodge Airstrip,Sossusvlei,Namibia,,,-24.80281,15.89171,2950
8028,Ulusaba Airstrip,Ulusaba,Namibia,ULX,,-24.78277,31.35393,1470
8029,RADOM,RADOM,Poland,QXR,EPRA,51.23198,21.12418,479
8030,Deer Valley Municipal Airport,Phoenix,United States,DVT,KDVT,33.4117,112.457,1478
8031,Calgary Springbank Airport,Calgary,Canada,YBW,CYBW,51.1031,-114.374,3939
8032,Golden Airport,Golden,Canada,YGE,CYGE,51.2992,-116.982,2575
8033,Revelstoke Airport,Revelstoke,Canada,YRV,CYRV,50.9667,-118.183,1459
8034,Republic Airport,Farmingdale,United States,,KFRG,40.7288,-73.4134,82
8035,Allstedt,Allstedt,Germany,,EDBT,51.3806,11.4467,932
8036,BWKAM,Amberg,Germany,,,49.43,11.8,500
8037,Glindbruchkippe,Peine,Germany,,KIPP,52.3237,10.182,230
8038,General Freire,Curico,Chile,,SCIC,-34.9667,-71.2164,722
8039,Peine-Eddesse Airport,Peine,Germany,,EDVP,52.4025,10.2289,249
8040,Seattle King Street Station,Seattle,United States,,,47.5985,-122.3299,7
8041,Tula,Tula,Russia,TYA,,54.14221,37.35562,590
8042,Hondo Municipal Airport,Hondo,United States,HDO,KHDO,29.3591,-99.1775,930
8043,Zhongwei Xiangshan Airport,Zhongwei,China,ZHY,ZLZW,37.5728,105.1544,4305
8044,Milwaukee Airport Station,Milwaukee,United States,,,42.94056,-87.92472,730
8045,Springfield IL Amtrak,Springfield,United States,,,39.8023,-89.6515,593
8046,St. Louis Amtrak - old,St. Louis,United States,,,38.6241,-90.2056,450
8047,Camarillo Amtrak,Camarillo,United States,,,34.2164,-119.0335,140
8048,Seattle Pier 52,Seattle,United States,,,47.6005,-122.3388,7
8049,Bremerton Terminal,Bremerton,United States,,,47.5619,-122.625,7
8050,McKinley National Park Airport,McKinley Park,United States,MCL,PAIN,63.73276,-148.91129,1720
8051,Lake Hood Seaplane Base,Anchorage,United States,LHD,PALH,61.18664,-149.96539,71
8052,Prospect Creek Airport,Prospect Creek,United States,PPC,PAPR,66.81417,-150.64361,1095
